,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,15.85396462274397,6.985483250747594,2.269558748286636,0.023921011837435013,2.109006943866575,29.598922301621364
1-q_diff_cpi,-1.894093832903864,0.5690829005622469,-3.328326735933416,0.0009789661752789955,-3.0138474853320982,-0.7743401804756294
avg_fuel_price,-3.828850713264153,1.8093110836788062,-2.1161925927514305,0.035125259958710346,-7.388934300956886,-0.26876712557142035
1-q_diff_unemployment,-7.274184933541937,1.9178138658879136,-3.7929566903898255,0.00017895356507177605,-11.047763578909459,-3.500606288174415
4-q_diff_temperature,0.2598492302157502,0.11227130939326868,2.31447581416851,0.02129490183470172,0.038939045369558334,0.48075941506194203
